count,male,female,young,old,short,medium,tall,thin,normal,fat,bmi_l,bmi_n,bmi_h,grf_l,grf_n,grf_h,sen_l,sen_n,sen_h,pre_l,pre_n,pre_h,env_l,env_n,env_h,date,time,ta,hr,season,va,height_avg,weight_avg,bmi_avg,griffith_avg,tsv
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,17:30:00,24.327142857142857,14.700000000000001,1,0.49685211764506126,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,09:00:00,22.099999999999998,15.157142857142858,1,1.0336867926869273,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,09:30:00,22.14428571428572,16.642857142857146,1,0.4804001767360739,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,10:00:00,22.680000000000003,17.099999999999998,1,0.4209537357057624,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,10:30:00,22.32714285714286,17.24285714285714,1,0.16718279482040188,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,11:00:00,24.3,16.04285714285714,1,0.28551321867047247,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,11:30:00,25.42714285714286,16.285714285714285,1,0.954929181126209,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,12:00:00,24.821428571428573,16.342857142857145,1,0.12829538325185394,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,14:30:00,24.798571428571428,14.742857142857144,1,0.899684750052894,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,2
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,15:00:00,25.625714285714285,16.27142857142857,1,0.7009389391174518,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,2
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,15:30:00,25.29857142857143,17.228571428571428,1,0.25372627329332936,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,16:00:00,25.085714285714285,17.814285714285713,1,1.002963981625078,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,16:30:00,24.54428571428571,17.82857142857143,1,0.8228533590195856,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,17:00:00,24.9,18.25714285714286,1,0.5207766308565036,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,17:30:00,25.428571428571427,18.557142857142857,1,0.6671394068721838,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,09:00:00,22.099999999999998,15.157142857142858,1,0.4914533542781814,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,09:30:00,22.14428571428572,16.642857142857146,1,0.9013430720904521,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
7,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.5,0.25,1.0,0.4,0.0,1.0,0.25,0.5,0.0,0.75,1.0,2021/1/18,10:00:00,22.680000000000003,17.099999999999998,1,0.6531336026495468,176.28571428571428,71.91428571428571,23.080000000000002,0.9357142857142857,1
